,id,room_id/id,temp,out/in,date,time
586,__export__.temp_log_194470_a0e3e765,Room Admin,36,0,2018-12-08,00:14:00
587,__export__.temp_log_194471_b705c76e,Room Admin,36,0,2018-12-08,00:14:00
588,__export__.temp_log_194468_c57249d5,Room Admin,29,1,2018-12-08,00:13:00
589,__export__.temp_log_194469_01b9f659,Room Admin,29,1,2018-12-08,00:13:00
590,__export__.temp_log_194467_dca1748a,Room Admin,36,0,2018-12-08,00:12:00
591,__export__.temp_log_194466_2d3d7f99,Room Admin,36,0,2018-12-08,00:12:00
592,__export__.temp_log_194463_aa076515,Room Admin,29,1,2018-12-08,00:11:00
593,__export__.temp_log_194462_cd1c7d66,Room Admin,29,1,2018-12-08,00:11:00
594,__export__.temp_log_194456_1595a890,Room Admin,29,1,2018-12-08,00:09:00
595,__export__.temp_log_194457_73c83528,Room Admin,29,1,2018-12-08,00:09:00
596,__export__.temp_log_194449_58a54913,Room Admin,29,1,2018-12-08,00:05:00
597,__export__.temp_log_194448_b7c00056,Room Admin,29,1,2018-12-08,00:05:00
598,__export__.temp_log_194444_b4308bdd,Room Admin,36,0,2018-12-08,00:04:00
599,__export__.temp_log_194445_2f7f1b30,Room Admin,36,0,2018-12-08,00:04:00
600,__export__.temp_log_194443_6f3afe17,Room Admin,29,1,2018-12-08,00:03:00
601,__export__.temp_log_194442_8a532819,Room Admin,29,1,2018-12-08,00:03:00
602,__export__.temp_log_194439_8c07abc5,Room Admin,36,0,2018-12-08,00:02:00
603,__export__.temp_log_194438_3942217a,Room Admin,36,0,2018-12-08,00:02:00
604,__export__.temp_log_194436_61ca11ba,Room Admin,35,0,2018-12-08,00:00:00
605,__export__.temp_log_194437_d9501a33,Room Admin,35,0,2018-12-08,00:00:00
