date,time,Ax,Ay,Az,Gx,Gy,Gz
2025-02-07,14:25:5.50,-0.57,-0.45,-0.54,-26.73,-8.61,-51.82
2025-02-07,14:25:6.00,-0.11,-0.83,-0.14,-29.97,-47.18,-77.82
2025-02-07,14:25:6.50,-0.55,-0.46,-0.24,-33.45,-48.10,35.22
2025-02-07,14:25:7.00,-0.13,0.97,-0.30,12.45,32.96,160.95
2025-02-07,14:25:7.50,1.11,-4.00,-0.77,239.38,533.63,-305.11
2025-02-07,14:25:8.00,-0.05,-1.11,-0.44,-8.97,43.95,-24.66
2025-02-07,14:25:8.50,0.23,-0.83,-0.06,-29.42,46.63,-29.97
2025-02-07,14:25:9.00,-0.07,-1.29,0.09,0.37,6.10,-10.31
2025-02-07,14:25:9.50,0.06,-1.11,3.73,-218.32,-263.61,-46.88
2025-02-07,14:25:10.00,2.71,-2.09,-3.83,162.66,431.40,-725.83
2025-02-07,14:25:10.50,0.36,-0.76,-0.42,19.59,4.70,46.63
2025-02-07,14:25:11.00,0.28,-1.72,-1.10,10.25,-167.11,206.12
2025-02-07,14:25:11.50,-0.62,0.99,0.01,90.76,-74.22,-43.82
2025-02-07,14:25:12.00,0.71,-0.57,0.13,-36.50,-44.37,41.20
2025-02-07,14:25:12.50,0.55,-0.88,0.47,30.82,-81.18,-65.73
2025-02-07,14:25:13.00,1.39,1.53,-1.96,12.82,227.97,-107.42
2025-02-07,14:25:13.50,2.38,-1.80,-0.51,87.40,-253.85,736.57
2025-02-07,14:25:14.00,2.41,0.42,0.68,19.41,414.43,-550.78
2025-02-07,14:25:14.50,1.20,0.28,-0.93,126.46,-214.11,-101.38
2025-02-07,14:25:15.00,0.55,-0.92,0.67,-167.72,127.56,77.03
2025-02-07,14:25:15.50,0.32,-1.02,-0.39,-1.53,-27.71,83.98
2025-02-07,14:25:16.00,-0.74,-0.13,0.78,-253.48,-52.73,-47.79
2025-02-07,14:25:16.50,-0.89,-0.63,-0.28,74.83,47.67,-23.50
2025-02-07,14:25:17.00,-0.80,-0.70,-0.47,12.76,32.10,-5.13
2025-02-07,14:25:17.50,-0.76,-0.64,-0.20,7.81,15.38,-6.53
2025-02-07,14:25:18.00,-0.76,-0.75,-0.40,1.83,8.73,0.49
2025-02-07,14:25:18.50,-0.56,-1.37,-0.47,39.86,102.66,-23.19
2025-02-07,14:25:19.00,-0.46,-0.65,-0.30,-72.39,-59.45,90.64
2025-02-07,14:25:19.50,-0.58,-0.57,-0.62,120.85,26.67,-29.42
2025-02-07,14:25:20.00,-0.48,-0.70,-0.52,-1.04,28.56,0.00
2025-02-07,14:25:20.50,-0.02,-0.75,-0.81,-2.99,21.67,59.81
2025-02-07,14:25:21.00,-0.45,-0.32,-0.81,-9.95,-63.90,-9.70
2025-02-07,14:25:21.50,-0.90,-0.01,-0.14,-47.97,-99.18,-37.48
2025-02-07,14:25:22.00,-0.34,-1.00,-0.12,-109.37,-17.09,-161.74
2025-02-07,14:25:22.50,0.46,-0.76,-0.38,-139.28,40.22,-25.27
2025-02-07,14:25:23.00,4.00,-1.45,0.38,46.51,-826.78,444.27
2025-02-07,14:25:23.50,-0.16,0.60,-0.77,-7.26,2.50,20.14
2025-02-07,14:25:24.00,-0.11,0.68,-0.43,162.17,43.52,0.12
2025-02-07,14:25:24.50,0.22,-0.26,-0.85,94.73,28.50,35.16
2025-02-07,14:25:25.00,0.63,-0.32,-2.05,92.16,-35.40,-105.16
2025-02-07,14:25:25.50,2.19,-3.81,-2.44,105.41,450.93,450.01
2025-02-07,14:25:26.00,0.33,0.82,-1.19,-34.97,-16.30,-41.02
2025-02-07,14:25:26.50,0.16,-0.02,-0.98,-8.54,-8.97,5.37
2025-02-07,14:25:27.00,0.11,0.73,-1.03,-63.78,-103.82,-11.84
2025-02-07,14:25:27.50,-0.67,0.48,-0.49,8.48,-69.89,28.75
2025-02-07,14:25:28.00,-0.88,0.33,0.19,53.47,-74.04,38.27
2025-02-07,14:25:28.50,-0.42,0.78,0.46,4.82,-17.03,19.04
2025-02-07,14:25:29.00,-0.14,0.81,0.53,9.09,-11.47,43.21
2025-02-07,14:25:29.50,0.16,0.78,0.68,-25.70,8.12,-24.84
2025-02-07,14:25:30.00,-0.33,0.58,0.95,17.09,56.76,-45.72
2025-02-07,14:25:30.50,-0.77,0.64,0.18,22.58,91.86,-14.71
2025-02-07,14:25:31.00,-0.57,-0.04,-0.84,11.05,36.01,-77.76
2025-02-07,14:25:31.50,-0.59,-0.62,-0.71,37.66,-119.08,-48.52
2025-02-07,14:25:32.00,-0.83,-0.40,0.37,38.09,-27.59,49.68
2025-02-07,14:25:32.50,-0.82,0.05,-0.33,56.82,180.18,-33.02
2025-02-07,14:25:33.00,-0.46,-0.26,-0.44,-6.65,159.79,-27.22
2025-02-07,14:25:33.50,0.97,-0.27,-0.09,34.91,130.80,-24.05
2025-02-07,14:25:34.00,1.08,-0.21,0.44,17.46,2.20,60.06
2025-02-07,14:25:34.50,1.17,-0.73,-0.16,-74.16,44.80,-80.14
2025-02-07,14:25:35.00,4.00,1.07,0.23,105.53,473.08,899.60
2025-02-07,14:25:35.50,2.44,0.36,0.08,-42.85,216.06,-388.55
2025-02-07,14:25:36.00,0.17,0.69,1.10,-33.69,-108.40,53.89
2025-02-07,14:25:36.50,3.06,-0.70,2.95,-105.77,-262.02,-739.07
2025-02-07,14:25:37.00,0.72,-0.22,1.27,2.62,20.81,20.20
2025-02-07,14:25:37.50,0.70,0.45,-0.15,27.22,-20.14,-10.07
2025-02-07,14:25:38.00,2.92,0.47,1.09,-141.17,277.65,340.27
2025-02-07,14:25:38.50,2.02,1.60,-0.34,232.48,-78.86,-622.92
2025-02-07,14:25:39.00,4.00,1.34,-0.85,-456.60,-445.74,1247.25
2025-02-07,14:25:39.50,0.38,-0.83,0.35,-6.65,21.55,-17.76
2025-02-07,14:25:40.00,0.75,-0.86,-0.58,47.42,-143.62,5.31
2025-02-07,14:25:40.50,3.07,-0.10,1.09,451.97,-375.43,364.87
2025-02-07,14:25:41.00,4.00,-0.19,1.37,494.57,-838.81,158.75
2025-02-07,14:25:41.50,4.00,1.36,0.51,499.88,463.32,627.14
2025-02-07,14:25:42.00,4.00,-0.37,0.09,698.36,-899.96,-237.92
2025-02-07,14:25:42.50,4.00,0.20,1.14,979.74,-296.51,691.77
2025-02-07,14:25:43.00,4.00,1.07,-0.63,1322.08,845.83,19.47
